governorate_id,city_name_ar,city_name_en,latitude,longitude,
22,بيت الخريبي,Bayt al Khuraybi,26.3113488,31.7993984,
22,الكرنك,Al Karnak,26.069167,32.081944,
22,عزبة ناصر,Ezbet Nasser,25.2539223,30.5295374,
22,جناح,Ginah,25.328546,30.529667,
22,الكوامل قبلي,Al Kawamil Qibli,26.45,30.7,
22,الكوامل قبلي,Al Kawamil Qibli,26.433333,31.183333,
22,عين دلة,Ain Dalla,27.319037,27.3354286,
22,نزلة خاطر,Nazlet Khatir,26.782778,31.373056,
22,نزلة السوق,Nazlet al Suq,26.8313811,31.348543,
22,أم دومة قبلي,Doma's Mother South,26.8188229,31.360015,
22,نزلة سعيد,Nazlat Said,26.8135171,31.3585376,
22,نجع العزالي,Nag Ghazali,26.65,31.516667,
22,نجع أبو ليلة,Naj Abu Laylah,26.733889,31.428056,
22,نزة,Nazzah,26.698611,31.479167,
22,جهينة,Giheina,26.674444,31.491667,
22,فزارة بالقرية,Fazarah bil Qaryah,26.683333,31.516667,
22,الزوك الغربية,Al Zawak al Gharbiyah,26.4333467,31.7236343,
22,المنيره,Al-Munira,25.6182832,30.6507165,
22,عزبة طليب,Ezbet Toleib,25.6920115,30.6331288,
22,بور سعيد,Port Said,25.339001,30.5528138,
22,واحة الفرافرة,Al Farafra Oasis,27.0587735,27.9683598,
22,الواحات الداخلة,El Dakhla Oases,25.5120622,29.2581601,
22,الطوابية,At Tawabeyah,26.1411846,32.5849754,
22,البشندي,El-Bashandi,25.5495622,29.2997364,
22,المعصرة,"al-Ma'sara, el-Dakhla",25.5105534,29.0565772,
22,إسمنت,Ismant,25.5264716,29.0686798,
22,بني منصور,Bani Mansour,26.1961274,31.9068538,
22,نجع الحجر,Nagaa Al Hagar,26.1451089,32.5962464,
22,نجع الضبع,Nagaa Al Daba'a,26.6220656,31.5626419,
22,سوهاج الجديدة,New Suhaj,26.4480431,31.6649431,
22,دندره,Dendera,26.1689935,32.6571134,
23,مرسى مطروح,Marsa Matruh,31.3528567,27.2395262,
23,السلوم,As Sallum,31.5516178,25.1542126,
23,واحة سيوة,Siwa Oasis,29.2034664,25.5192273,
23,أبو تمر,Abu Tamr,31.1826669,27.5201325,
23,زاوية عبد المنعم,Zawiyat Abd al Munim,31.083333,28.433333,
23,الضبعة,Ad Daba‘a,31.028943,28.4443762,
23,العلمين,El Alamein,30.833944,28.949268,
23,دوار حسن,Dauwar Hasan,30.8351939,29.5176111,
23,غرد المشروكة,Ghard al Mashruka,30.183333,29.65,
23,زاوية نوح,Zawia Etnooh,31.1705373,27.6649538,
23,زاوية الهبابية,Zauyet Al Habbabiya,30.9142059,29.5671703,
23,فوكة,Fukah,31.0733101,27.9177768,
23,غرد الحنيشات,Ghard al Hineishat,30.116667,29.783333,
23,كفرة صابر,Kafret Saber,31.4326785,26.9640599,
23,كفرة التوارسة,Kafret al Tawarsa,31.45,26.4,
23,المكتيلة,Al Maktilah,31.5599237,26.1985117,
23,عزبة ملول,Izbat Mallul,29.2128945,25.5369186,
23,الهمرة,Al Hamra,29.35,25.383333,
23,قارة أم الصغير,Qaret Um El Saghir,29.6216,26.4974578,
23,منقار أبو طرطور,Minqar Abu Turtur,30.333333,27.65,
23,منقار ظهر الحمار,Minqar Zahr al Himar,30.383333,27.916667,
23,قارة الفرس,Qaret al Faras,30.0051897,27.8055831,
23,أبو الغراديق,Abu Gharadic,29.916667,28,
23,غرود قبلي أبو غرادق,Ghurud Abu Gharadiq,29.833333,28.166667,
23,غرد الرماك,Ghard al Rammak,29.504023,29.3365371,
23,غرد الكلب,Ghard al Kalb,29.6,29.6,
23,غرد مبارك,Ghard Mubarak,29.6672824,29.1860122,
23,دوار شندي فنوش,Dawwar Shindi Fannush,30.916667,29.45,
23,زاوية السنسية,Zawyet al Sinusiya,30.9179016,29.442574,
23,دوار عبد العاطي أبو العجوز,Dauwar Abd al Ati Abu al Aguz,30.85,29.283333,
23,سيدى عبد الرحمن,Sidi Abdel Rahman,30.9651527,28.7432522,
23,قارة الإدد,Qaret al Ided,29.9232872,28.9064367,
23,محدرة,Madara,31.3496243,27.2332364,
23,سيدي البراني,Sidi Barrani,31.6112866,25.9258465,
23,زاوية أم الرخم,Zawyet Umm El Rakham,31.3954253,27.045038,
23,جلال,Jalal,31.0372983,28.1818414,
23,بهي الدين,Bahy El deen,29.2670266,25.3247348,
23,برج العرب,Borj El Arab,30.9003276,29.5512815,
23,أبو سنان,Abu Sinan,29.6308738,28.7115079,
23,أبو الغراديق,Abu Al Gharadiq,29.7922921,28.5533426,
23,أبو حجاج,Abu Hajjaj,31.134022,27.8346553,
24,نخل,Nekhel,29.9114539,33.7459874,
24,بئر قطية,Qatia Well,30.9542879,32.7457497,
24,بئر العبد,Bir al Abd,31.018138,33.0116944,
24,أبو طويلة,Abu Toweela,31.208889,34.152222,
24,الشيخ زويد,Ash Sheikh Zuwayyed,31.2127686,34.1107742,
24,أبو عويقيلة أبو عجيلة,Abu Uwayqilah,30.841111,34.1225,
24,الحسنة,El Hassana,30.465278,33.781667,
24,القصيمة,Al Qusaima,30.6672492,34.3672554,
24,وادي الحجايب,Wadi al Higaiyib,30.462729,33.1456677,
24,بغداد,Baghdad,30.665833,33.7227779,
24,قرية التلول,Qaryat al Tilul,31.0523616,33.2233601,
24,منجم الصفات,Manjam al Safat,30.6789736,33.3283755,
24,قرية الرضة,Qaryat al Radah,31.0410056,33.3500257,
24,الطاسة,Al Tasah,30.5560628,32.6276071,
24,قرية الجدي,Al-Jady Village,30.177316,33.025589,
24,العريش,El Arish,31.123641,33.7983521,
24,الجورة,El Gorah,31.1280848,34.1624747,
24,المغارة,Al Maghara,30.6597484,33.7137505,
24,أبو عويقيلة,Abu Aweigila,30.8434955,34.1179083,
24,بخيت الجرابعة,Bakhit Jerabah,30.9982703,34.2366037,
24,الثمد,El-Thamad,29.6730181,34.3048622,
24,الكنتلا,Al Kuntillah,30.0033014,34.6831488,
24,عوجة الحفير,Auja al-Hafir,30.8832083,34.3733314,
24,سلمانة,Salmana,31.032647,33.0960337,
24,المطلة,Al-Matla,31.2264237,34.1626579,
25,دهب,Dahab,28.4963633,34.5145652,
25,عصلة,Assalah,28.5050301,34.5141469,
25,خليج نعامة,Neama Bay,27.9132571,34.3266603,
25,خليج نبق,Nabq Bay,28.0424658,34.4336718,
25,شرم القديمة,Old Sharm,27.8612753,34.2985104,
25,رأس سدر,Sudr Cape,29.593487,32.718536,
25,شرم الشيخ,Sharm El Sheikh,27.8644422,34.295447,
25,هضبة,Hadaba,27.8517577,34.3046262,
25,مشربة,Mashraba,28.4916646,34.5146204,
25,فرش الرمانة,Farsh El Rommanah,28.540908,33.8814396,
25,خليج القرش,Shark's Bay,27.9511526,34.3811647,
25,بئر المالحة,Bir al Malha,29.4182337,33.4839798,
25,أبو رديس,Abu Rudays,28.9036109,33.1875,
25,رأس نصراني,Ras Nasrani,27.9647214,34.4160882,
25,نبق,Nabq,28.0897031,34.4288087,
25,الطور,At Tur,28.241667,33.623611,
25,أبو زنيمة,Abu Zenima,29.051163,33.104062,
25,الشيخ عواد,Al Shaykh Awwad,28.6408524,33.8904358,
25,طابا,Taba,29.492821,34.892366,
25,نويبع,Nueiba,29.035,34.661667,
25,نويبع المزينة,Nuweiba al Muzeinah,28.9675,34.649722,
25,طابا هايتس,Taba Heights,29.3899951,34.7995267,
25,حدائق الخليج,Garden Bay,27.918927,34.354954,
25,دومينا كورال باي,Domina Coral Bay,27.9277625,34.3653856,
25,البرج,Tower,27.8845942,34.3247131,
25,قبر النبى صالح,Al Nabi Saleh Mausoleum,28.6328633,33.9955202,
25,إيكولج الكرم,Al Karm Ecolodge,28.6498087,33.8972425,
25,القديسة كاترين,Saint Catherine,28.5675077,33.9535607,
25,فرش إلياس,Farsh Elias,28.5443483,33.9750142,
25,إيكولج جبل سينا,Mont Sina Ecolodge,28.520259,33.9930509,
25,قرية الطرفة,El Tarfa Village,28.6943058,33.9383428,
25,رحيبة ندا,ReHeibet Nada,28.5341085,33.9105844,
26,الغردقة,Hurghada,27.222556,33.8307062,
26,الجونة,El Gouna,27.3989266,33.6741556,
26,مرسى علم,Marsa Alam,25.069992,34.893817,
26,القصير,El Quseir,26.104836,34.279764,
26,سفاجا,Safaga,26.7633325,33.9383817,
26,بور غالب,Port Ghalib,25.531711,34.633762,
26,شلاتين,Shalatin,23.1061832,35.5639423,
26,سفاجا,Safaga,26.7633325,33.9383817,
26,القصير,El Qusiar,,,
26,رأس غارب,Gharib Cape,28.359444,33.077778,
27,بنها,Banha,30.4624974,31.184063,
27,قها,Qaha,30.280632,31.206051,
27,طوخ,Tukh,30.3540508,31.200979,
27,قليوب,Qalyub,30.178875,31.206436,
27,العبور,Al-Obour,30.1914,31.450548,
27,بلقس,Balaqs,30.1770721,31.2811174,
27,ميت حلفا,Mit Halfa,30.1605243,31.2373436,
27,ميت نما,Mit Nama,30.1457317,31.2351206,
27,كوم اشفين,Kom Eshfin,30.1802133,31.2565364,
27,سندوة,Sindawa,30.248521,31.3113825,
27,نوى,Nawa,30.2283474,31.2634115,
27,شبين القناطر,Shebin el Qanater,30.3125348,31.317601,
27,الدير الطيبه,Deir,30.3354724,31.2743853,
27,ميت كنانه,Meat Kenanh,30.3844859,31.2588711,
27,طنان,Tanan,30.2431119,31.2458249,
27,سنديون,Sindiyun,30.2465227,31.2070294,
27,ابو زعبل البلد,Abu Zaabal A-Balad,30.2492546,31.3531244,
27,طحا نوب,Taha Noub,30.2795391,31.2961856,
27,كفر طحا,Kafr Tahha,30.268933,31.2994901,
27,البرادعة,Al-Baradaa,30.2334124,31.1509904,
27,المنيرة,Al-Munira,30.2445352,31.1231813,
27,أجهور الكبرى,Aghour Al-Kubra,30.299241,31.1491022,
27,أجهور الصغرى,Aghour Al-Sughra,30.2679631,31.1412057,
27,قرنفيل,Oronfeel,30.2780443,31.1611185,
27,كفرشبين,Kafr Shebin,30.2961285,31.3047987,
27,المريج,Al-Mareeg,30.2866421,31.3168067,
27,مسطرد,Musturud,30.1308831,31.2948719,
27,بهتيم,Bahteem,30.1389642,31.2655197,
27,عرب التربة,Arab al Tirba,30.3,31.366667,
27,عرب الصوالحة,Arab al Sawalihah,30.2989773,31.3527647,
27,منشأة شبرا حارس,Minshat Shubra Haris,30.3110881,31.205568,
27,مجول,Mugul,30.391944,31.1725,
27,نصف أتريب,Nisf Atrib,30.466667,31.183333,
27,كفر شكر القديم,Kafr Shukr,30.5478299,31.2594426,
27,رملة,Ramleh,30.440278,31.155278,
27,مشتهر طوخ بنها,Mushtohor,30.351944,31.226111,
27,كفر مناقر,Kafr Manaqir,30.45,31.183333,
27,طوخ,Kom Alatroun,30.348333,31.158056,
27,مركز طوخ,Markaz Tukh,30.333333,31.166667,
27,منصورة نامول,Mansuret Namul,30.3271717,31.2478195,
27,السيفا,As-Siyafa,30.313056,31.114722,
27,العطارة,Al Attara,30.2360389,31.2998453,
27,كفر عبيان,Kafr Ibyan,30.25,31.35,
27,الخصوص,Al Khusus,30.1597348,31.314222,
27,عرب العليقات البحرية,Arab al Aliqat al Bahriyah,30.2827663,31.3464749,
27,القناطر الخيرية,Al Qanatir al Khairiya,30.1966159,31.133908,
27,الأخميين,Al Akhmiyin,30.1690804,31.1704049,
27,بجام,Bigam,30.136944,31.244167,
27,باسوس,Basus,30.1407773,31.2097247,
27,باسوس,Basus,30.1407772,31.2097246,
27,شبرا الخيمة,Shubra al Khayma,30.1285988,31.242218,
27,المعاجيني,Al Maagini,30.4246176,31.217256,
27,السلام,The Peace,30.1984547,31.3705648,
27,عرب الغديري,Arab Al Ghudairy,30.3425432,31.2909201,
